image_id,tile_id,region_id,area,rad51_count_th0.15,rad51_area_th0.15,rad51_count_th0.2,rad51_area_th0.2,rad51_count_th0.25,rad51_area_th0.25,prob_count_th0.3,prob_area_th0.3,prob_count_th0.365,prob_area_th0.365,prob_count_th0.4,prob_area_th0.4
A1,tile_03,47,737.0,1,0.004262676599172039,1,0.004262676599172039,0,0.0,0,0.0,0,0.0,0,0.0
A1,tile_04,1,788.0,6,0.023920756245607563,1,0.00398679270760126,0,0.0,2,0.0921392101926852,1,0.02835052993696958,1,0.02835052993696958
A1,tile_04,2,1056.0,11,0.03966657390896204,6,0.020163841737055703,2,0.005949986086344305,6,0.11139696294611151,5,0.0637970765431722,2,0.028097159934766365
A1,tile_04,3,132.0,2,0.40459905387141276,2,0.06611095651493673,0,0.0,1,0.38079912012273615,1,0.38079912012273615,1,0.38079912012273615
A1,tile_04,4,1011.0,5,0.023478217435334202,2,0.011739108717667101,0,0.0,5,0.07388733544052531,3,0.052825991878641586,3,0.052825991878641586
A1,tile_04,5,1212.0,13,0.07459410499447712,7,0.02016056891742625,5,0.014976422624373785,5,0.07257805877786265,4,0.06998598457563042,3,0.04665732305042028
A1,tile_04,6,1826.0,24,0.04129146970764243,14,0.02408669066279141,11,0.0189252569493361,12,0.11661018964886535,8,0.09921423420065204,7,0.09233231977982954
A1,tile_04,7,1153.0,23,0.06478759062043134,12,0.03269654106077842,7,0.01907298228545408,5,0.1913353158201431,4,0.1610607401971081,2,0.08719077858838017
A1,tile_04,8,1227.0,9,0.023043466896746648,3,0.007681155632248883,2,0.005120770421499255,7,0.10981208285181719,5,0.09245836278142829,2,0.04665591450561424
A1,tile_04,9,1878.0,21,0.04200685952616811,14,0.026021948379042186,10,0.01672839538652712,12,0.16449590485951643,7,0.1159835506678897,5,0.06245267987886049
A1,tile_04,10,1293.0,19,0.05237337585257541,9,0.021867234247724777,3,0.007289078082574926,6,0.14875119615689048,1,0.009718771047216003,0,0.0
A1,tile_04,11,1347.0,25,0.07955695328318625,17,0.060898645021331486,9,0.031097180436424576,9,0.16066878445518398,2,0.037575762096651415,2,0.037575762096651415
A1,tile_04,12,1054.0,14,0.05067084925144829,4,0.011922552765046654,3,0.00894191457378499,5,0.13744054573536824,1,0.04007302561113911,0,0.0
A1,tile_04,13,1364.0,26,0.10876318652457331,21,0.06858478585549566,18,0.04145796756936679,6,0.17018240428040804,0,0.0,0,0.0
A1,tile_04,14,158.0,3,0.1303473745160322,1,0.019883497807530338,0,0.0,2,0.4263905875290496,1,0.3181359737734251,1,0.3181359737734251
A1,tile_04,15,752.0,8,0.052452714222170016,2,0.02413753220843222,0,0.0,3,0.10119196709166182,1,0.03759884834289551,1,0.03759884834289551
A1,tile_04,16,1647.0,9,0.017167172970436028,4,0.007629854653527123,3,0.005722390990145342,3,0.03157912476104755,2,0.023949269316163146,2,0.023949269316163146
A1,tile_04,17,1412.0,7,0.017304964254901283,3,0.006674771926890495,2,0.00444984795126033,5,0.04326241685040612,4,0.039306994538131586,4,0.039306994538131586
A1,tile_04,18,1257.0,17,0.04443161182483576,11,0.02749205981661712,8,0.01999422532117609,7,0.146902031242231,2,0.05776109596804768,1,0.017772647247678623
A1,tile_04,19,1634.0,17,0.06729237630088297,6,0.011535835937294223,3,0.005767917968647111,7,0.09976363444707677,2,0.044434331476031784,0,0.0
